Жительница Башкирии готовит сюрприз Радию Хабирову  Об этом она написала в соцсетях:  http://i-gazeta.com/news/region102/40590.html№%:№%:2019-01-20 14:30:03№%:№%:23967044
Жительницы Башкирии готовятся к рождению детей в ужасных условиях  Смотреть на это все без слез невозможно.  https://www.ufa.kp.ru/online/news/3357780/№%:№%:2019-01-20 14:10:00№%:№%:23967044
🔥 В Башкирии «прописались» быки из Италии🔥    Они очень огромные, смотрите сами!   👉🏻 Подробнее + видео: https://bash.news/news/88357_v_bashkirii_rabotaet_vysokotexnologichnyj_fidlot№%:№%:2019-01-20 13:50:00№%:№%:23967044
Главные новости Уфы и Башкирии за неделю  Вызов Радию Хабирову, требование простить населению долги и новый вид компенсаций   http://ufatime.ru/news/2019/01/20/glavnye-novosti-ufy-i-bashkirii-za-nedelyu-vyzov-radiyu-habirovu-trebovanie-prostit-naseleniyu-dolgi-i-novyj-vid-kompensacij/№%:№%:2019-01-20 13:30:02№%:№%:23967044
Методы 90-х возвращаются  В Уфе ночью наглым образом подожгли дорогущую иномарку крупного бизнесмена. Все попало в обзор камеры наблюдения [видео].  https://www.ufa.kp.ru/online/news/3360065/№%:№%:2019-01-20 13:10:01№%:№%:23967044
В Башкирии нужно принять один важный документ  И желательно не тянуть с этим:  http://i-gazeta.com/news/region102/40576.html№%:№%:2019-01-20 12:50:00№%:№%:23967044
В воду вместе с горожанами: как уфимцы отметили Крещение Господне   Самые яркие моменты с купаний в ледяной воде - в фоторепортаже UFA1.RU  https://ufa1.ru/text/gorod/65856951?from=leadingstory№%:№%:2019-01-20 12:30:02№%:№%:23967044
В Уфе прокомментировали давку пенсионеров за просроченными продуктами из мусорки   Виновные будут наказаны.  https://www.ufa.kp.ru/online/news/3358645/№%:№%:2019-01-20 12:10:04№%:№%:23967044
Жан-Клод Ван Дамм передал привет уфимцам  Пользователи соцсетей оценили видео:  https://gorobzor.ru/novosti/obschestvo/21687-zhan-klod-van-damm-peredal-videoprivet-ufimcam№%:№%:2019-01-20 11:50:00№%:№%:23967044
Помните голубую воду из крана в одной из многоэтажек Башкирии?  Теперь эту воду проверяют в лаборатории:  http://ufacitynews.ru/news/2019/01/20/v-centr-gigieny-i-epidemiologii-v-rb-napravili-proby-goluboj-vody-iz-sterlitamaka/№%:№%:2019-01-20 11:30:02№%:№%:23967044
Под Уфой на озере нашли труп    Пока ясно только одно, это не утопление:  http://ufacitynews.ru/news/2019/01/20/v-bashkirii-na-ozere-nashli-trup/№%:№%:2019-01-20 11:10:01№%:№%:23967044
Осталась без хозяина и оказалась на улице😰   Трогательная история местной Хатико:  http://i-gazeta.com/news/region102/40569.html№%:№%:2019-01-20 10:50:00№%:№%:23967044
Защитник "Салавата Юлаева" рассказал о своих впечатлениях от первого дня "Матча Звезд КХЛ"    Сегодня состоятся основные матчи турнира    Подробности: https://news102.ru/sport/zaschitnik-salavata-yulaeva-filip-larsen-eto-hokkey-dlya-bolelschikov/№%:№%:2019-01-20 10:30:03№%:№%:23967044
В Сибае раздают бесполезные медицинские препараты? На сегодня уже раздали 7200 масок и открыли еще 10 новых точек распространения бесплатной "помощи"  Эксперт прокомментировал действия властей. Публикуем адреса выдачи лекарств в Сибае:  https://ufa1.ru/text/gorod/65856861?from=newscol_in№%:№%:2019-01-20 10:10:01№%:№%:23967044
Поиски пропавшего 23-летнего парня завершены  Об этом сообщили волонтеры:  https://gorobzor.ru/novosti/obschestvo/21688-v-bashkirii-zaversheny-poiski-23-letnego-vladislava-melnikova№%:№%:2019-01-20 09:50:00№%:№%:23967044
В Башкирии "уничтожают темные пятна"   Как распределяются на это деньги? Кому повезет больше?  http://i-gazeta.com/news/region102/40571.html№%:№%:2019-01-20 09:30:03№%:№%:23967044
Увольнение изнасилованной дознавательницы и голубая вода из-под крана  Какие новости интересовали жителей Башкирии на этой неделе   http://ufacitynews.ru/news/2019/01/20/uvolnenie-iznasilovannoj-doznavatelnicy-i-golubaya-voda-iz-pod-krana-kakie-novosti-interesovali-zhitelej-bashkirii-na-etoj-nedele/№%:№%:2019-01-20 09:10:00№%:№%:23967044
«Чтобы в понедельник в 9 утра лежала краткая записка»    Хабиров наделил чиновника особой ответственностью   http://ufatime.ru/news/2019/01/20/radij-habirov-postavil-chinovnika-na-kontrol-za-musornoj-reformoj-v-bashkirii-i-vvel-dlya-nego-personalnuyu-otvetstvennost/№%:№%:2019-01-20 08:50:00№%:№%:23967044
